"filename", "language", "JavaScript", "Markdown", "JavaScript JSX", "XML", "JSON", "PostCSS", "HTML", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\hp\EngineeringQuizArena\docs\Day7_Report.md", "Markdown", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 40, 103
"c:\Users\hp\EngineeringQuizArena\docs\Day8_Report.md", "Markdown", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 64, 197
"c:\Users\hp\EngineeringQuizArena\docs\Day9_Report.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
"c:\Users\hp\EngineeringQuizArena\frontend\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\hp\EngineeringQuizArena\frontend\eslint.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\hp\EngineeringQuizArena\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\hp\EngineeringQuizArena\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 3132, 0, 0, 0, 0, 0, 1, 3133
"c:\Users\hp\EngineeringQuizArena\frontend\package.json", "JSON", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"c:\Users\hp\EngineeringQuizArena\frontend\public\favicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\hp\EngineeringQuizArena\frontend\public\icons.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\hp\EngineeringQuizArena\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\hp\EngineeringQuizArena\frontend\src\api\axios.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\hp\EngineeringQuizArena\frontend\src\components\LoadingSpinner.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\hp\EngineeringQuizArena\frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 16, 97
"c:\Users\hp\EngineeringQuizArena\frontend\src\components\PageContainer.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\hp\EngineeringQuizArena\frontend\src\components\StatCard.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\hp\EngineeringQuizArena\frontend\src\components\SubjectCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\EngineeringQuizArena\frontend\src\components\TopicCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\EngineeringQuizArena\frontend\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\Users\hp\EngineeringQuizArena\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\hp\EngineeringQuizArena\frontend\src\layouts\MainLayout.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\hp\EngineeringQuizArena\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\AchievementsPage.jsx", "JavaScript JSX", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 29, 161
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\AnalyticsPage.jsx", "JavaScript JSX", 0, 0, 290, 0, 0, 0, 0, 0, 0, 7, 74, 371
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\DailyChallengePage.jsx", "JavaScript JSX", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 31, 159
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 61, 323
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\HistoryPage.jsx", "JavaScript JSX", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 13, 99
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\LeaderboardPage.jsx", "JavaScript JSX", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 19, 98
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 19, 113
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\MistakeTrackerPage.jsx", "JavaScript JSX", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 38, 169
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\NotFoundPage.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\ProfilePage.jsx", "JavaScript JSX", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 34, 147
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\QuizPage.jsx", "JavaScript JSX", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 26, 235
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\QuizReviewPage.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 14, 71
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\Register.jsx", "JavaScript JSX", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 21, 140
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\ResultsPage.jsx", "JavaScript JSX", 0, 0, 153, 0, 0, 0, 0, 0, 0, 3, 25, 181
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\StartQuizPage.jsx", "JavaScript JSX", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 39, 154
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\SubjectsPage.jsx", "JavaScript JSX", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 25, 132
"c:\Users\hp\EngineeringQuizArena\frontend\src\pages\TopicsPage.jsx", "JavaScript JSX", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 24, 133
"c:\Users\hp\EngineeringQuizArena\frontend\src\routes\AppRoutes.jsx", "JavaScript JSX", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 7, 150
"c:\Users\hp\EngineeringQuizArena\frontend\src\routes\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\hp\EngineeringQuizArena\frontend\src\services\analytics.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\EngineeringQuizArena\frontend\src\services\auth.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\hp\EngineeringQuizArena\frontend\src\services\dailyChallenge.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\hp\EngineeringQuizArena\frontend\src\services\historyService.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\hp\EngineeringQuizArena\frontend\src\services\mistakeService.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\hp\EngineeringQuizArena\frontend\src\services\quiz.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\EngineeringQuizArena\frontend\src\services\quizService.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 142
"c:\Users\hp\EngineeringQuizArena\frontend\src\services\reviewService.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\hp\EngineeringQuizArena\frontend\src\types\quiz.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\hp\EngineeringQuizArena\frontend\src\utils\auth.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\hp\EngineeringQuizArena\frontend\vite.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"Total", "-", 252, 5362, 2552, 25, 3165, 1, 13, 3839, 39, 117, 4549, 19914
